0.00,99.00
53.00,88.30
52.00,169.60
81.00,151.70
73.00,199.10
93.00,171.70
85.00,199.90
92.00,185.20
87.00,198.30
95.00,182.10
87.00,198.70
92.00,185.80
88.00,195.40
95.00,180.90
85.00,200.50
93.00,182.30
89.00,193.30
92.00,185.40
87.00,195.30
91.00,186.70
92.00,187.00
88.00,193.40
90.00,188.40
90.00,190.00
92.00,186.20
87.00,195.30
91.00,186.70
91.00,188.90
89.00,191.70
89.00,191.10
90.00,190.20
93.00,185.30
87.00,196.10
91.00,186.70
91.00,188.90
90.00,189.80
88.00,192.80
90.00,189.40
93.00,185.30
87.00,196.10
91.00,186.70
90.00,190.80
91.00,188.10
88.00,193.60
90.00,189.40
93.00,185.30
87.00,196.10
91.00,186.70
89.00,192.70
93.00,184.50
86.00,198.00
92.00,185.00
91.00,189.70
90.00,189.80
88.00,192.80
90.00,189.40
93.00,185.30
87.00,196.10
91.00,186.70
90.00,190.80
90.00,190.00
89.00,191.90
90.00,190.20
93.00,185.30
87.00,196.10
91.00,186.70
90.00,190.80
91.00,188.10
88.00,193.60
90.00,189.40
93.00,185.30
87.00,196.10
91.00,186.70
89.00,192.70
93.00,184.50
86.00,198.00
92.00,185.00
90.00,191.60
90.00,190.00
89.00,191.90
90.00,190.20
93.00,185.30
87.00,196.10
91.00,186.70
90.00,190.80
90.00,190.00
89.00,191.90
90.00,190.20
93.00,185.30
87.00,196.10
91.00,186.70
90.00,190.80
91.00,188.10
88.00,193.60
90.00,189.40
93.00,185.30
87.00,196.10
91.00,186.70
89.00,192.70
93.00,184.50
